Machine Name,Type,Ease of Use,Capacity (Liters),Power Consumption (kW),Price (INR),Price (USD),Brew Time (Minutes),Weight (kg),Brew Quality,Image URL
Krups Simply Brew Compact Drip KM202850,Drip,Easy,0.75,0.85,2974.15,34.99,7,1.2,Good,https://www.krupsusa.com/medias/?context=bWFzdGVyfGltYWdlc3wzODYzNXxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnME5TOW9PVE12TVRNNE9EQTFPRFUwTlRNMU9UZ3VZbWx1fGQ4NTdjYTlmNmZlNDI4ZTliNGIxMGFhOWI1NDMwYWVkN2MwMWFlYmE0MGVjNDI2MWIzMDViNmUzYmNhZjFlYmQ
La Pavoni Europiccola EPC-8,Manual Espresso,Advanced,0.8,0.95,80665,949,6,5.5,Exceptional,https://cdn11.bigcommerce.com/s-6h7ychjk4/images/stencil/1280x1280/products/8068/91448/lapavoni-epc8-wbg-5__63932.1608216481.jpg?c=1&imbypass=on
La Specialista Arte EC9155MB,Manual Espresso Machine,Precision control for tamping and temperature,1.7,1.85,59495.75,699.95,3,8.8,Rich espresso with dense crema,https://5.imimg.com/data5/SELLER/Default/2023/12/367465267/DM/EI/RD/2455005/delonghi-la-specialista-arte-ec9155mb-espresso-machine-with-grinder.jpg
Melitta AromaFresh Grind and Brew 1021-01,Grind and Brew,Moderate,1.4,1,23799.15,279.99,8.5,4.1,Excellent,"https://m.media-amazon.com/images/I/51Sb2OQrXnL._AC_UF894,1000_QL80_.jpg"
Melitta Barista TS Smart F85/0-102,Bean-to-Cup Coffee Machine,App-controlled with preset recipes,1.8,1.5,127415,1499,3,10.1,Exceptional flavor with fresh bean grinding,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHYNowOmBH2W3PiVUny8MHwkgOKdKFaslYag&s
Miele CM5300,Superautomatic,Moderate,1.2,1.4,76415,899,6,9.5,Excellent,https://images-cdn.ubuy.co.in/635ef5cbd7a60620222e2f35-miele-cm5300-coffee-system-medium.jpg
Miele CM6350,Super Automatic,Easy,1.8,1.5,212415,2499,2.5,12.2,Exceptional,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXlyKrJCDQTcAhCsOQm4eg_NWizsZqPHfyZA&s
Mr. Coffee All-in-One Occasions BVMC-O-CT,Drip/Espresso,Easy,2,1.25,21249.15,249.99,8,6.5,Good,https://i.ebayimg.com/images/g/KFIAAOSwKUNiTztr/s-l1600.jpg
Nespresso Atelier,Pod,Easy,1,1.3,32215,379,2,2.9,Excellent,https://caramelly.in/cdn/shop/products/nespresso-atelier-coffee-machine-with-inbuilt-milk-frother-477045_1600x.jpg?v=1644060629
Nespresso Creatista Plus,Capsule Coffee Machine,High,1.5,1.5,50999.15,599.99,0.05,5.2,Excellent,"https://m.media-amazon.com/images/I/71nZ-nnQRoL._AC_UF894,1000_QL80_.jpg"
Nespresso Creatista Pro BNE900,Pod-Based Espresso Machine,Touchscreen interface with milk frothing,2.2,1.5,72245.75,849.95,1.5,6.6,Excellent crema and customizable milk texture,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTur7yx0n71s8JEIFLChIizkr4kK1XK9DqgPw&s
Nespresso Essenza Mini D30,Pod,Easy,0.6,1.26,12665,149,2.5,2.3,Good,https://www.freshbrewco.in/cdn/shop/files/14_f3859edc-d125-4745-90b6-7dd7c51411f0_1024x.png?v=1727085119
Nespresso Expert C80-D80,Pod-Based Espresso Machine,Pod insertion with multiple brew sizes,1.1,1.2,32295.75,379.95,1,3.2,Excellent crema with consistent taste,https://d27in5296vwmy3.cloudfront.net/catalog/product/n/e/nespresso-d80-expert-coffee-maker-anthracite-gray-1600-w_30332673_7a5c6a5d85c0360f7f3a5fa856f6cb79_2.jpg
Nespresso Gran Maestria Titanium,Espresso Machine,Advanced,1.4,1.6,59415,699,0.6,6,Excellent,https://m.media-amazon.com/images/I/61-TTmXh3TL.jpg
Nespresso Maestria Crema,Espresso Machine,Advanced,1.4,1.6,46665,549,0.6,5.8,Excellent,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSw-Tk3EV2JMVgga35II6gnD_mZ39TNy1wwGQ&s
Nespresso Pixie C61,Compact Pod-Based Coffee Maker,Fast heating and compact design,0.7,1.26,15295.75,179.95,1,2.8,Rich crema with excellent espresso consistency,https://access.jebelz.com/media/catalog/product/cache/4ec3cacea31d5a03269462614fb10cbb/p/r/prft-c61-me-ti-ne-nespresso-pixie-electric-titan-coffee-machine-1620891115_1_1.jpg
Nespresso Vertuo Next,Capsule Coffee Machine,Medium,1.1,1.2,15215,179,0.5,4,Good,https://images-cdn.ubuy.co.in/633b6ba89628bd7366608cd0-nespresso-bnv520mtb-vertuo-next-espresso.jpg
Nespresso Vertuo Pop,Capsule Coffee Machine,High,0.6,1.1,11049.15,129.99,0.3,3.5,Good,https://images-cdn.ubuy.co.in/654971cd805640293429394e-nespresso-vertuo-pop-deluxe-coffee-and.jpg
Ninja CE251,Programmable Coffee Brewer,High,1.5,1.1,6800,80,8,2.7,Good,"https://m.media-amazon.com/images/I/81+HcYgDo1L._AC_UF894,1000_QL80_.jpg"
Ninja DualBrew Pro CFP301,Drip & Pod Combo Machine,High,1.9,1.2,19549.15,229.99,4,4.8,Good,"https://crdms.images.consumerreports.org/f_auto,w_600/prod/products/cr/models/412815-dual-coffee-makers-ninja-dualbrew-pro-12-cup-cfp301-10037415.png"
Ninja Hot and Cold Brewed System CP307,Versatile Coffee and Tea Maker,Custom brewing sizes and options,1.5,1.55,19549.15,229.99,4,4.3,Customizable temperature and brew style,"https://crdms.images.consumerreports.org/f_auto,w_600/prod/products/cr/models/396980-drip-coffee-makers-with-carafe-ninja-hot-and-cold-brewed-system-cp307-10001363.png"
Ninja Specialty Coffee Maker CM401,Drip/Specialty,Easy,1.5,1.4,14449.15,169.99,6,3.1,Excellent,https://m.media-amazon.com/images/I/81BzHbm5GvL.jpg
Nuova Simonelli Oscar II,Espresso,Moderate,3,1.2,110075,1295,4,13,Exceptional,https://5.imimg.com/data5/NV/PB/WS/SELLER-1418251/oscar-ii-500x500.jpg
Oster Optimal Brew BVSTBXT43,Drip,Easy,1.8,1.2,8499.15,99.99,5.5,3.5,Good,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJThLNr5ae-3asLtGxlwJwbA9OetjVOefcvg&s
OXO Brew 8-Cup Coffee Maker,Drip Coffee Maker,High,1.1,1.5,17000,200,6,3.8,Excellent,"https://m.media-amazon.com/images/I/717dHUDucUL._AC_UF894,1000_QL80_.jpg"
Philips 3200 Series EP3241/54,Fully Automatic Coffee Machine,Intuitive touch display with customizable options,1.8,1.5,76495.75,899.95,2,8,Excellent crema and consistent espresso,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIra6JxCr4RP25HpDOf1OFDHUTgVMsnrFYmQ&s
Philips L'OR Barista Sublime LM9012/60,Pod,Easy,1,1.45,12665,149,1.5,2.4,Excellent,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKUEedKuXotfpXrZOOTI8oP19wVxi2ig-ZGw&s
Rancilio Silvia V6,Espresso,Moderate,2,1.35,72250,850,4,14,Exceptional,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHPcJxf_fxEONFRqAfmxGX_gXE2iLwdGO5wA&s
Ratio Four Coffee Maker (RATIO4BLK),Pour-over Coffee Maker,Medium,0.65,1.2,22095.75,259.95,4,3.63,Excellent,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQw5kS1IhlSA9ZOpjN-MAagwQ3IFe1yykQbMg&s
