Machine Name,MType,Speed (kg/hr),Power Consumption (kW),Efficiency (%),Daily Capacity (kg),Dimensions (cm),Weight (kg),MachineMaterial,Manufacturer,Price (INR),Image URL
CFT Group Hydra Washer,Washing Machine,5000,5,82,"1,20,000",300 x 150 x 200,1000,Stainless steel,CFT Group,12000,https://www.cft-group.com/wp-content/uploads/sites/61/2024/02/5_2858d6.jpg
Marel VeggieLine Chopper 200,Vegetable Chopper,2000,6,84,"48,000",180 x 120 x 150,900,Stainless steel and durable composites,Marel,45000,https://cdn.gebrauchtmaschinen.de/data/listing/img/hdv/ms/21/24/14690545-01.jpg?v=1706037225
Lyco Manufacturing Clean-Flow Blancher,Blanching Machine,10000,25,89,"2,40,000",600 x 200 x 180,3000,Stainless steel,Lyco Manufacturing,150000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2prbFThOBsm2wiYdLs7BsTu5CQhCAtTEeYw&s
TOMRA Halo 1200,Optical Sorter,12000,18,90,"2,88,000",280 x 150 x 180,1400,Stainless steel with optical components,TOMRA Sorting Solutions,275000,https://www.fruitandveggie.com/wp-content/uploads/2019/11/6e42a24a974bc44020b68e9c33ddf367.jpg
FENCO FM-3000,Juice Extractor,3000,15,83,"72,000",250 x 120 x 150,800,Food-grade steel,FENCO Food Machinery,75000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7n4VK3myp3PpsFQp5AMpcuTzvoq-aYJk4JQ&s
Cabinplant Vibro Feeder VF-100,Feeding Conveyor,4000,5,76,"96,000",300 x 100 x 120,500,Stainless steel,Cabinplant,30000,https://media.exapro.com/product/2019/03/P90315089/f638ffc44683633c8e27fa5fae8d6d5e/462x340/handtmann-vf-100b-p90315089_2.jpg
Kronen K650 Centrifuge,Vegetable Dryer,2000,8,88,"48,000",160 x 100 x 120,600,Stainless steel,Kronen GmbH,90000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3OArPGv7JBmbxCrzNRTL7kv2KakRcyGIjqQ&s
Sormac SC-940,Carrot Topper and Tailer,4000,10,86,"96,000",300 x 120 x 160,1000,Stainless steel,Sormac,85000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDd-jRkUTIK1UJfYiPHvo5PsYfFjEAugc23w&s
Alfa Laval FreshX500,Centrifugal Separator,5000,22,90,"1,20,000",280 x 160 x 200,2000,Stainless steel with polymer linings,Alfa Laval,100000,https://www.alfalaval.com/globalassets/images/products/separation/centrifugal-separators/separators/afpx/afpx_617_skid_640x360.png
JBT Avure HPP-300,High-Pressure Processor,180,35,92,"1,50,000",500 x 250 x 200,2500,Stainless steel,JBT Corporation,250000,https://www.jbtc.com/foodtech/wp-content/uploads/sites/2/2021/08/AV-M.webp
FTNON Peeler FP-200,Rotary Peeler,2000,12,82,"48,000",180 x 90 x 140,700,Stainless steel and polymer composites,FTNON,70000,https://www.jbtc.com/foodtech/wp-content/uploads/sites/2/2021/08/Magnetic-Onion-Peeler-A.jpg
Urschel Affinity Dicer,Dicer,10000,22,85,"2,40,000",150 x 100 x 120,800,Stainless steel,Urschel Laboratories,90000,https://www.urschel.com/wp-content/uploads/2023/12/urschel-dicer-affinity-integra.png
Bucher HPX-3000,Juice Press,3000,18,88,"72,000",250 x 120 x 180,900,Food-grade stainless steel,Bucher Industries,95000,https://www.bucherunipektin.com/sites/default/files/styles/tabs_image/public/2021-11/GT-FL-HPX3007.jpg?itok=vOnhk_LY
Marel FlowBreader 400,Coating Machine,4000,15,83,"96,000",400 x 150 x 150,1200,Stainless steel,Marel,135000,https://marel.com/media/wcwbi332/flowscale.jpg?width=546&height=582&format=webp&quality=80&v=1d6a8565b923290
Lyco Chill-Flow Cooler,Cooling System,15000,35,88,"3,60,000",500 x 200 x 200,3000,Stainless steel,Lyco Manufacturing,200000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSvXtlx5y7aSXzzyYaCAQkMiXvpKHrJC51eDA&s
GEA SmartPacker CX400,Packaging Machine,5000,20,86,Optimized for industrial-scale operations,350 x 180 x 200,2000,Stainless steel,GEA Group,150000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHbCPjIsO0EWUFhYqSKudlLyQtwTWmtsLyZg&s
Tetra Pak Juice Extractor JE-5000,Juice Extractor,5000,20,88,"1,20,000",300 x 150 x 180,1200,Stainless steel,Tetra Pak,180000,https://5.imimg.com/data5/SELLER/Default/2024/5/416368516/QZ/XJ/EK/7750339/automatic-tetra-pack-filling-and-packing-machine.jpg
TOMRA Orbit 800,Peeler and Sorter,8000,22,90,"1,92,000",300 x 150 x 160,1400,Stainless steel and durable plastics,TOMRA Sorting Solutions,210000,https://media.potatopro.com/tomra-steampeeler-1200x743.jpg?width=600&height=357&crop=center&mode=crop
Heat and Control FastBack 260E,Conveyor System,6000,5,84,"1,44,000",450 x 180 x 150,1800,Stainless steel,Heat and Control,90000,https://media.potatopro.com/heat-and-control-fastback-260e-g3-horizontal-motion-conveyor-1200_1.jpg?width=1200&height=743&crop=smart&mode=crop
Multivac C500,Chamber Vacuum Sealer,900,4,85,Optimized for industrial-scale operations,110 x 70 x 90,400,Stainless steel and polymer elements,Multivac,18000,https://media.exapro.com/product/2020/04/P00406063/c23afa1d5d24d32ea255b4255c9c88c7/multivac-c-500-p00406063_2.JPG
Kiremko EasyFry E1000,Frying System,1000,30,78,"24,000",500 x 250 x 200,2800,Stainless steel,Kiremko,300000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRk4UsAdU_YZxuszmZ92NCY61S0Vx8iUt-hEQ&s
FENCO PLV-5000,Pasteurizer,5000,25,82,"1,20,000",400 x 200 x 180,3500,Stainless steel,FENCO Food Machinery,200000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSWOrkwngHfg8_P3Degly3S87hHf0PrKx2FMw&s
Cabinplant Spiral Washer SW-300,Fruit & Vegetable Washer,3000,7,84,"72,000",220 x 140 x 150,800,Stainless steel,Cabinplant,65000,https://sc02.alicdn.com/kf/HTB1ugW.QXXXXXXzaFXXq6xXFXXXV/222488869/HTB1ugW.QXXXXXXzaFXXq6xXFXXXV.jpg
FTNON VeggieJet 2500,High-Speed Washer,2500,12,80,"60,000",250 x 150 x 160,1000,Stainless steel,FTNON,80000,https://www.jbtc.com/foodtech/wp-content/uploads/sites/2/2021/08/Multifunctional-Washer-MFW.jpg
GEA GracoMix GMX-10,Blender and Mixer,5000,22,81,"1,20,000",280 x 180 x 200,1200,Stainless steel with reinforced blades,GEA Group,125000,https://cdn.gea.com/-/jssmedia/products/packaged-compressors/packaged-screw-compressor/gm-series-packaged-screw-compressor/gmx-screw-compressor-package.jpg?mw=400&rev=d94f8905d3e146acb72a1dd32e724aed
Tetra Pak High Shear Mixer HSX-6000,Mixer,6000,18,85,"1,44,000",320 x 200 x 180,1200,Stainless steel and food-grade polymers,Tetra Pak,130000,"https://s7g10.scene7.com/is/image/tetrapak/high-shear-mixer-cold-emulsions?wid=600&hei=338&fmt=jpg&resMode=sharp2&qlt=85,0&op_usm=1.75,0.3,2,0"
Alfa Laval Cold Press CP-4000,Cold Press Juice Extractor,4000,15,89,"96,000",280 x 160 x 170,1400,Stainless steel,Alfa Laval,180000,https://www.alfalaval.com/globalassets/images/products/process-solutions/olive-oil-solutions/olive-oil-solutions/alfa-oliver-500_640x360.png
TOMRA Blizzard IQF Sorter,Optical Sorter,8000,20,92,"1,92,000",350 x 180 x 200,1500,Stainless steel,TOMRA Sorting Solutions,225000,https://media.potatopro.com/tomra-blizzard-809.jpg?width=1200&height=743&crop=smart&mode=crop
Cabinplant Portion Weigher PW-2000,Weighing Machine,2000,6,85,"48,000",180 x 90 x 120,600,Stainless steel,Cabinplant,65000,https://www.cabinplant.com/wp-content/uploads/2023/08/multibatcher-886x585c9d5.jpg
Kronen KS-800 Spin Dryer,Vegetable Dryer,800,3,87,"19,200",100 x 70 x 110,250,Stainless steel and plastic components,Kronen GmbH,25000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkRPrN2JOyvht9BIOdMMPT5ZBCszv_WjuOUw&s
Sormac WSU-1000,Washing and Sorting Unit,1000,8,88,"24,000",200 x 120 x 140,750,Stainless steel,Sormac,75000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJcBM9Yp3UCvALDhp-YDy8fSNQAJoVcRfCtg&s
GEA CombiGrind 280,Grinder,2800,14,85,"67,200",220 x 120 x 150,900,Stainless steel,GEA Group,88000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQczMWOv2a3fE59mSgQ9HQKoG1jW5bKe_y5Zw&s
FTNON Cutting Line CL-1500,Chopping Line,1500,12,83,"36,000",300 x 180 x 150,1200,Stainless steel,FTNON,95000,https://www.jbtc.com/foodtech/wp-content/uploads/sites/2/2021/08/JBT-Unifiller-hIGH-sPEED.jpg
